Date,Open,High,Low,Close,Volume,Change
2021-07-28,14300,14600,14300,14450,94912,0.003472222222222321
2021-07-29,14500,14650,14500,14600,83468,0.01038062283737018
2021-07-30,14650,14750,14400,14650,115604,0.003424657534246478
2021-08-02,14700,14800,14550,14650,86857,0.0
2021-08-03,14650,15350,14550,15300,487257,0.04436860068259385
2021-08-04,15200,15300,15050,15200,162920,-0.006535947712418277
2021-08-05,15200,15350,15000,15100,133987,-0.006578947368421018
2021-08-06,15100,15150,14800,14900,132943,-0.013245033112582738
2021-08-09,14900,15600,14900,15250,451102,0.02348993288590595
2021-08-10,15400,15500,14900,14950,196867,-0.01967213114754096
2021-08-11,15100,15250,14800,14850,187785,-0.006688963210702337
2021-08-12,14900,15500,14850,15250,308830,0.026936026936027035
2021-08-13,15400,15500,14800,15050,347282,-0.013114754098360604
2021-08-17,15250,15250,14200,14400,305960,-0.04318936877076407
2021-08-18,14150,15900,14150,15150,862804,0.05208333333333326
2021-08-19,14950,15050,14400,14450,307361,-0.04620462046204621
2021-08-20,14500,15100,14350,14600,363250,0.01038062283737018
2021-08-23,14600,14950,14450,14950,167879,0.023972602739726012
2021-08-24,14950,15400,14900,15300,447868,0.02341137123745818
2021-08-25,15300,15350,14900,15250,210026,-0.0032679738562091387
2021-08-26,15150,15250,14900,14950,183202,-0.01967213114754096
2021-08-27,14950,15250,14800,14950,216563,0.0
2021-08-30,15100,15200,14900,15000,163341,0.0033444816053511683
2021-08-31,15000,15000,14600,14850,188409,-0.010000000000000009
2021-09-01,14800,14850,14700,14750,138523,-0.006734006734006703
2021-09-02,14800,15200,14750,15200,245233,0.03050847457627115
2021-09-03,15200,15350,15100,15100,316373,-0.006578947368421018
2021-09-06,15200,16200,15000,15900,1004155,0.052980132450331174
2021-09-07,15800,16000,15400,15500,435917,-0.02515723270440251
2021-09-08,15650,15650,15100,15150,336634,-0.022580645161290325
2021-09-09,15100,15250,14750,14750,320122,-0.02640264026402639
2021-09-10,14950,15350,14800,15150,197264,0.027118644067796627
2021-09-13,15100,15150,14800,14800,184195,-0.02310231023102305
2021-09-14,14900,15200,14850,15150,162910,0.023648648648648685
2021-09-15,15150,15350,15050,15100,176227,-0.0033003300330033403
2021-09-16,15200,15400,15100,15350,193940,0.01655629139072845
2021-09-17,15400,15500,15050,15050,167709,-0.019543973941368087
2021-09-23,14850,18600,14650,17800,13246110,0.18272425249169433
2021-09-24,17250,17950,16800,17950,4045645,0.008426966292134797
2021-09-27,17650,18600,17050,18050,2982393,0.0055710306406684396
2021-09-28,17650,19600,16450,16500,6178907,-0.08587257617728528
2021-09-29,16100,19200,15950,18550,10756122,0.12424242424242427
2021-09-30,19600,21450,17550,17850,16811805,-0.037735849056603765
2021-10-01,18100,20100,18000,19600,9327484,0.0980392156862746
2021-10-05,19050,19550,16650,16850,3099709,-0.14030612244897955
2021-10-06,17400,21550,16650,17750,11155661,0.05341246290801194
2021-10-07,17400,20800,17350,20050,16153551,0.12957746478873244
2021-10-08,20050,20950,18800,19350,7895987,-0.034912718204488824
2021-10-12,19650,20150,18300,18750,2757585,-0.03100775193798455
2021-10-13,18600,19200,17900,18300,2355082,-0.02400000000000002
2021-10-14,18300,19550,18200,19000,4740936,0.03825136612021862
2021-10-15,19200,19300,18150,18150,1768919,-0.044736842105263186
2021-10-18,18100,18500,17650,17800,1233996,-0.019283746556473802
2021-10-19,17900,18150,16900,17250,2080312,-0.030898876404494402
2021-10-20,17300,17700,17100,17400,817602,0.008695652173912993
2021-10-21,17400,17500,16200,16350,1319049,-0.06034482758620685
2021-10-22,16400,17300,16400,16650,1179936,0.0183486238532109
2021-10-25,16700,16750,16050,16150,652936,-0.03003003003003002
2021-10-26,16250,16900,16200,16400,695326,0.015479876160990669
2021-10-27,16550,16950,16400,16400,413391,0.0
2021-10-28,16500,17400,16300,16950,1431041,0.03353658536585358
2021-10-29,17000,17050,16250,16350,744265,-0.03539823008849563
2021-11-01,16600,16750,15650,15700,945767,-0.03975535168195721
2021-11-02,15650,15950,15500,15650,408605,-0.0031847133757961776
2021-11-03,15700,15800,15250,15400,486132,-0.015974440894568676
2021-11-04,15500,15600,14850,15100,611974,-0.01948051948051943
2021-11-05,15100,15150,14700,14850,434593,-0.01655629139072845
2021-11-08,16050,16150,14850,14900,1410877,0.0033670033670034627
2021-11-09,14800,15000,14200,14350,758616,-0.03691275167785235
2021-11-10,14350,14600,14250,14300,403734,-0.0034843205574912606
2021-11-11,14200,14300,13400,13650,657802,-0.045454545454545414
2021-11-12,13750,14100,13700,13900,353774,0.01831501831501825
2021-11-15,14050,14600,14000,14550,391045,0.046762589928057485
2021-11-16,14500,14600,14250,14500,163110,-0.0034364261168384758
2021-11-17,14550,14550,13850,13900,391170,-0.04137931034482756
2021-11-18,13900,14100,13700,14050,207701,0.010791366906474753
2021-11-19,14000,14050,13700,13800,299479,-0.017793594306049876
2021-11-22,13900,14100,13750,13900,300658,0.007246376811594235
2021-11-23,13900,14100,13800,13800,197034,-0.007194244604316502
2021-11-24,13900,13900,13450,13450,344250,-0.025362318840579712
2021-11-25,13550,13650,13400,13450,171803,0.0
2021-11-26,13500,14100,13450,13900,464025,0.03345724907063197
2021-11-29,13800,14400,13650,13850,349510,-0.003597122302158251
2021-11-30,13850,16600,13850,15200,7434103,0.09747292418772568
2021-12-01,15450,15900,14600,14900,1782076,-0.019736842105263164
2021-12-02,15450,15700,14800,14800,1158281,-0.006711409395973145
2021-12-03,14800,15200,14550,14950,639890,0.010135135135135087
2021-12-06,15050,15200,14300,14400,660698,-0.03678929765886285
2021-12-07,14500,14800,14100,14700,622238,0.02083333333333326
2021-12-08,14650,15050,14600,14750,547449,0.00340136054421758
2021-12-09,14800,15100,14450,14500,547846,-0.016949152542372836
2021-12-10,14500,14750,14400,14500,272819,0.0
2021-12-13,14550,14650,14350,14600,279636,0.006896551724137945
2021-12-14,14650,15400,14600,15150,1243597,0.03767123287671237
2021-12-15,15150,16500,15000,15700,3007419,0.03630363036303641
2021-12-16,15850,15850,15200,15300,710060,-0.02547770700636942
2021-12-17,15400,15950,15300,15450,859384,0.009803921568627416
2021-12-20,15600,15700,14750,14750,641772,-0.04530744336569581
2021-12-21,14850,14900,14400,14400,462721,-0.023728813559321993
2021-12-22,14450,16150,14200,14900,1736312,0.03472222222222232
2021-12-23,15150,15500,14550,14650,779201,-0.016778523489932917
2021-12-24,14650,14800,14450,14450,286922,-0.013651877133105783
2021-12-27,14550,15350,14550,14900,1034047,0.03114186851211076
2021-12-28,14850,14900,14500,14500,446260,-0.02684563758389258
2021-12-29,14550,14950,14500,14750,230891,0.01724137931034475
2021-12-30,14750,14800,14500,14600,215195,-0.01016949152542368
2022-01-03,14800,15000,14600,14950,255857,0.023972602739726012
2022-01-04,15000,15000,14750,14900,235805,-0.0033444816053511683
2022-01-05,14900,14900,14500,14550,308187,-0.023489932885906062
2022-01-06,14400,14600,14200,14250,303389,-0.020618556701030966
2022-01-07,14200,14650,14200,14600,158132,0.024561403508772006
2022-01-10,14500,14650,14300,14600,138462,0.0
2022-01-11,14600,14700,14300,14350,245241,-0.017123287671232834
2022-01-12,14400,14650,14350,14350,191616,0.0
2022-01-13,14400,14450,14100,14100,194975,-0.017421602787456414
2022-01-14,14050,14100,13650,13850,265414,-0.01773049645390068
2022-01-17,13700,13850,13250,13350,332838,-0.03610108303249093
2022-01-18,13250,13500,12800,13050,346408,-0.022471910112359605
2022-01-19,12650,13000,12450,12600,246837,-0.03448275862068961
2022-01-20,12550,12850,12550,12800,182269,0.015873015873015817
2022-01-21,12750,13050,12700,12800,115914,0.0
2022-01-24,12800,13050,12450,12550,225803,-0.01953125
2022-01-25,12450,12600,11650,11700,436923,-0.0677290836653387
2022-01-26,11550,12200,11550,11900,349961,0.017094017094017033
2022-01-27,12050,12150,11250,11250,280213,-0.054621848739495826
2022-01-28,11250,11800,11250,11700,258177,0.040000000000000036
2022-02-03,12000,12500,11950,12300,257095,0.05128205128205132
2022-02-04,12200,12450,12050,12450,135513,0.012195121951219523
2022-02-07,12550,12700,12150,12700,193826,0.02008032128514059
2022-02-08,12800,12800,12200,12300,193823,-0.03149606299212604
2022-02-09,12500,13650,12400,13150,1061879,0.06910569105691056
2022-02-10,13250,13750,13000,13200,571633,0.0038022813688212143
2022-02-11,13150,13200,12350,12400,353159,-0.06060606060606055
2022-02-14,12150,12200,11700,11850,312245,-0.04435483870967738
2022-02-15,11850,12500,11650,11950,577946,0.00843881856540074
2022-02-16,12300,12600,12250,12450,237247,0.04184100418410042
2022-02-17,12550,12850,12200,12450,392136,0.0
2022-02-18,12250,12500,12150,12400,153515,-0.004016064257028162
2022-02-21,12350,13050,12300,12900,536897,0.040322580645161255
2022-02-22,12500,12950,12500,12750,208419,-0.011627906976744207
2022-02-23,12800,13000,12650,12650,175395,-0.007843137254901933
2022-02-24,12500,12700,12150,12150,233193,-0.03952569169960474
2022-02-25,12350,12600,12200,12450,234491,0.024691358024691468
2022-02-28,12250,12800,12250,12650,128937,0.016064257028112428
2022-03-02,12650,12900,12600,12800,136796,0.011857707509881354
2022-03-03,12850,13100,12700,12900,208456,0.0078125
2022-03-04,12850,13000,12750,12950,142363,0.003875968992248069
2022-03-07,12950,13200,12750,12900,194201,-0.0038610038610038533
2022-03-08,12700,13050,12600,12850,134721,-0.003875968992248069
2022-03-10,13000,13050,12850,12900,122680,0.0038910505836575737
2022-03-11,12900,13050,12750,12850,102478,-0.003875968992248069
2022-03-14,12850,12850,12500,12550,124246,-0.023346303501945553
2022-03-15,12500,12950,12350,12850,170854,0.0239043824701195
2022-03-16,13000,13250,12850,13150,258748,0.023346303501945442
2022-03-17,13350,14300,13200,13550,1299712,0.03041825095057038
2022-03-18,14050,15350,13600,14350,2738024,0.05904059040590415
2022-03-21,14450,14550,13800,13850,529387,-0.03484320557491294
2022-03-22,13950,14200,13550,13650,441213,-0.014440433212996373
2022-03-23,13800,14100,13600,13650,396150,0.0
2022-03-24,13600,13700,13500,13600,164839,-0.00366300366300365
2022-03-25,13700,13950,13500,13900,248995,0.022058823529411686
2022-03-28,13900,13900,13600,13750,160036,-0.010791366906474864
2022-03-29,13850,14000,13650,13750,160334,0.0
2022-03-30,13800,14200,13750,13900,365447,0.01090909090909098
2022-03-31,13950,13950,13600,13650,214548,-0.017985611510791366
2022-04-01,13600,13650,13400,13400,156326,-0.01831501831501836
2022-04-04,13400,13500,13250,13350,125469,-0.003731343283582045
2022-04-05,13450,13450,13300,13300,85097,-0.0037453183520599342
2022-04-06,13250,13400,13100,13150,143518,-0.011278195488721776
2022-04-07,13050,13350,13050,13150,104263,0.0
2022-04-08,13200,13450,13100,13150,133040,0.0
2022-04-11,13200,13250,13000,13050,71330,-0.0076045627376425395
2022-04-12,12950,13050,12700,12800,120106,-0.019157088122605415
2022-04-13,12750,13050,12600,12950,94418,0.01171875
2022-04-14,12900,13250,12900,13200,85158,0.019305019305019266
2022-04-15,13150,13400,13050,13250,78223,0.0037878787878788955
2022-04-18,13200,13350,13050,13200,64157,-0.0037735849056603765
2022-04-19,13150,13350,13100,13200,74234,0.0
2022-04-20,13250,13250,12950,13050,95548,-0.011363636363636354
2022-04-21,12950,13150,12900,12950,116780,-0.007662835249042099
2022-04-22,12950,12950,12800,12900,65285,-0.0038610038610038533
2022-04-25,12750,12750,12450,12500,124512,-0.03100775193798455
2022-04-26,12550,12650,12500,12600,68450,0.008000000000000007
2022-04-27,12300,12550,12300,12400,107229,-0.015873015873015928
2022-04-28,12450,12600,12350,12600,107959,0.016129032258064502
2022-04-29,12650,12800,12500,12700,77443,0.007936507936507908
2022-05-02,12450,12700,12450,12600,49070,-0.007874015748031482
2022-05-03,12650,12800,12550,12700,66325,0.007936507936507908
2022-05-04,12650,12750,12400,12500,96316,-0.015748031496062964
2022-05-06,12400,12400,12100,12200,123803,-0.02400000000000002
2022-05-09,12000,12100,11600,11750,208512,-0.03688524590163933
2022-05-10,11400,11750,11250,11700,156931,-0.004255319148936176
2022-05-11,11600,11950,11600,11900,62010,0.017094017094017033
2022-05-12,11700,11850,11350,11450,108801,-0.037815126050420145
2022-05-13,11400,11750,11400,11750,68427,0.026200873362445476
2022-05-16,11800,12050,11750,11850,76716,0.008510638297872353
2022-05-17,11850,12000,11850,11900,69867,0.00421940928270037
2022-05-18,11950,12250,11700,12000,207503,0.008403361344537785
2022-05-19,11750,11950,11600,11900,93821,-0.008333333333333304
2022-05-20,11900,12000,11800,11850,93735,-0.004201680672268893
2022-05-23,11900,12200,11800,12100,144887,0.021097046413502074
2022-05-24,12100,12100,11800,11850,85789,-0.02066115702479343
2022-05-25,11850,12000,11750,11800,79303,-0.00421940928270037
2022-05-26,11800,12050,11800,11850,73542,0.004237288135593209
2022-05-27,11950,12000,11800,11850,111027,0.0
2022-05-30,11950,12150,11900,12050,96191,0.016877637130801704
2022-05-31,12050,12100,11850,11900,293055,-0.012448132780082943
2022-06-02,11850,12000,11850,11900,88269,0.0
2022-06-03,11950,12000,11850,11900,108082,0.0
2022-06-07,11900,11900,11500,11550,142627,-0.02941176470588236
2022-06-08,11650,11700,11450,11500,96891,-0.0043290043290042934
2022-06-09,11450,11500,11200,11350,172607,-0.013043478260869601
2022-06-10,11250,11350,10900,11050,254647,-0.026431718061673992
2022-06-13,10700,10800,10450,10450,256505,-0.05429864253393668
2022-06-14,10100,10350,10000,10100,377474,-0.03349282296650713
2022-06-15,10000,10150,9880,9960,230500,-0.013861386138613874
2022-06-16,10000,10150,9600,9600,217002,-0.03614457831325302
2022-06-17,9360,9920,9350,9890,244117,0.030208333333333393
2022-06-20,9850,9910,9320,9410,179414,-0.04853387259858444
2022-06-21,9360,9600,9360,9570,92162,0.01700318809776835
2022-06-22,9570,9880,9570,9650,191631,0.008359456635318674
2022-06-23,9660,9720,9050,9050,216840,-0.06217616580310881
2022-06-24,8920,9420,8920,9350,162314,0.03314917127071815
2022-06-27,9420,9850,9410,9670,97256,0.03422459893048124
2022-06-28,9670,9820,9570,9820,70950,0.015511892450879028
2022-06-29,9650,9870,9650,9840,70209,0.0020366598778003286
2022-06-30,9790,9880,9680,9690,94044,-0.015243902439024404
2022-07-01,9770,9800,9500,9590,67088,-0.01031991744066052
2022-07-04,9590,9590,9250,9360,73456,-0.023983315954118845
2022-07-05,9420,9880,9420,9850,96705,0.052350427350427386
2022-07-06,9850,10700,9850,10350,325324,0.050761421319796884
2022-07-07,10400,10600,10300,10500,113871,0.01449275362318847
2022-07-08,10550,10700,10400,10500,85747,0.0
2022-07-11,10500,11100,10500,10900,184120,0.03809523809523818
2022-07-12,11050,11300,10800,10950,253957,0.004587155963302836
2022-07-13,10950,11200,10650,10950,263215,0.0
2022-07-14,10950,11050,10700,10950,126540,0.0
2022-07-15,11000,11150,10800,11000,252862,0.004566210045662045
2022-07-18,11100,11300,10900,11000,215412,0.0
2022-07-19,11050,11300,11050,11100,295736,0.009090909090909038
2022-07-20,11250,11300,11050,11150,146127,0.0045045045045044585
2022-07-21,11200,11350,11000,11050,122754,-0.008968609865470878
2022-07-22,11050,11150,10750,10800,136286,-0.022624434389140302
2022-07-25,10800,11150,10500,10750,195984,-0.00462962962962965
2022-07-26,10700,10850,10650,10750,62601,0.0
2022-07-27,10750,10850,10650,10750,76328,0.0
2022-07-28,10850,10850,10600,10750,90935,0.0
2022-07-29,10800,10800,10450,10550,125744,-0.018604651162790753
2022-08-01,10550,10600,10350,10400,87506,-0.014218009478673022
2022-08-02,10350,10500,10150,10250,115870,-0.014423076923076872
2022-08-03,10300,10700,10250,10600,116818,0.034146341463414664
2022-08-04,10650,10900,10550,10650,110758,0.004716981132075526
2022-08-05,10650,10850,10600,10800,101359,0.014084507042253502
2022-08-08,10800,10900,10700,10800,60318,0.0
2022-08-09,10850,10850,10650,10700,58553,-0.0092592592592593
2022-08-10,10650,10700,10400,10500,93681,-0.01869158878504673
2022-08-11,10550,10700,10550,10700,59747,0.01904761904761898
2022-08-12,10700,10700,10500,10600,161170,-0.009345794392523366
2022-08-16,10700,10750,10600,10650,86445,0.004716981132075526
2022-08-17,10700,10750,10500,10600,104115,-0.0046948356807511304
2022-08-18,10650,10650,10250,10350,131201,-0.02358490566037741
2022-08-19,10350,10400,10150,10200,101479,-0.01449275362318836
2022-08-22,10100,10200,10000,10100,117420,-0.009803921568627416
2022-08-23,9980,10100,9910,9990,114976,-0.0108910891089109
2022-08-24,9960,10100,9940,10050,78273,0.006006006006006093
2022-08-25,10050,10250,10050,10200,56498,0.014925373134328401
2022-08-26,10300,10300,10100,10150,42810,-0.004901960784313708
2022-08-29,9940,9940,9830,9850,117999,-0.029556650246305383
2022-08-30,9900,9960,9860,9950,39035,0.010152284263959421
2022-08-31,10000,10050,9840,10050,57194,0.01005025125628145
2022-09-01,9990,9990,9740,9740,91632,-0.030845771144278555
2022-09-02,9800,9850,9650,9650,86638,-0.00924024640657084
2022-09-05,9610,9700,9480,9500,69897,-0.015544041450777257
2022-09-06,9460,9600,9460,9510,31758,0.001052631578947416
2022-09-07,9510,9510,9270,9280,93307,-0.024185068349106165
2022-09-08,9420,9420,9280,9290,50448,0.0010775862068965747
2022-09-13,9340,9680,9340,9610,80534,0.034445640473627526
2022-09-14,9400,9500,9310,9480,35028,-0.013527575442247697
2022-09-15,9560,9560,9350,9370,73547,-0.011603375527426185
